Property Name,Property Type,Description,Price,Bedrooms,Baths,Toilets,Location,City,State,Country,Images,Furnished,Features,URL
4 Bedroom Duplex,Duplex,"4 bedroom House for sale Carlton Gate Estate Akobo Ibadan Oyo selling for ₦270,000,000.",270000000,4,0,0,Carlton Gate Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-duplex-ZwWf0Ebp9IPLJl9izshu.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-7NZat3ZNHaLDfd1h78AL.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-P3aior2qluvAJbS7bDXV.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-CdlHdxCAkKtx3a5sP3Ib.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-PvkUrIhTFRCc8hmmGWGN.jpg"", ""https://images.propertypro.ng/large/4-bedroom-duplex-JDXvcYwSbiWaUhwR55CP.jpg""]",Fully Furnished,"[""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-carlton-gate-estate-akobo-ibadan-oyo-8NPXR
Massive 5 Bedroom Detached Duplex With Elevator,Detached Duplex,"5 bedroom House for sale Lekki Phase 1 Lekki Lagos selling for ₦1,300,000,000.",1300000000,5,5,6,Lekki Phase 1 Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/eM0qU-massive-5-bedroom-detached-duplex-with-elevator-dJDQ6hCr2xRcCvKfr8pL.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-KlfBX2XSi93ynArGnrJb.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-Y9wL6VQ2mHABsZcOv76S.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-2Y90hEPq9Fv8JGsvMOJs.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-NOjq5N29yoLgTpXzGQMl.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-w9mBXzW31It91jXgvfcK.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-VWXTruUAQXHGMRkf9If3.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-nwTYx6VPFhzyr4UuhRU6.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-QJPhfMjZ0z5VJFiNyLoU.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-y9OjzJmtafsyiShdtWzS.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-ZFwIYLi2qtJD4BgDuaVJ.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-M9QEJ4UswhTHw7zihmvn.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-C5Ur4NmoVtD9OAZZg8W1.jpg"", ""https://images.propertypro.ng/large/massive-5-bedroom-detached-duplex-with-elevator-dCriF8hWujMhXHqodeLY.jpg""]",Fully Furnished,"[""24 Hours Security"", ""Big Compound"", ""Governor's Consent"", ""Front Desk Service"", ""All Room Ensuit"", ""POP Ceiling"", ""Water Treatment"", ""Security"", ""Security doors"", ""Boys Quater"", ""Elevator""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-9PBXR
Luxury 4 Bedroom Detached Bungalow,Bungalow,"4 bedroom House for sale Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju-Lekki Lagos selling for ₦80,000,000.",80000000,4,4,5,"Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju Lekki Lagos",Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-k7Uj3iVaNtVTMcNiPn9S.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-qdrZv6NwSxM0EozV3oVT.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-GQMTwzBCxgwPYs0oPQKW.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-txulpRkP5rgkszAAi4zI.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-Vl6qtkOvIJrQHvHVJAwg.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-w86HuR8R54YhbR8ohUYm.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-ZAt2gR7p8hTTZEwDcQP8.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-gf4zJtY8ySnCNb7lNdfs.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-Ei3fB4BEBZtWYYzNBBvd.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-t0gms1mXT46DMxBE3gQ2.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-AklOCfDcia8OIxN4MDQu.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-vEEcmR9phPwRKi0OqGux.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-WD2yqZlOvnxHJ98pBjqp.jpg""]",Fully Furnished,"[""Big Compound"", ""All Room Ensuit"", ""24 hours Electricity"", ""CCTV Cameras"", ""Drainage System"", ""C of O""]",https://propertypro.ng/property/4-bedroom-house-for-sale-pan-atlantic-lakowe-golf-eleko-junction-ibeju-lekki-lagos-2PAEF
5 Bedroom Semi Detached Duplex,Detached Duplex,"5 bedroom House for sale Ikate Lekki Lagos selling for ₦330,000,000.",330000000,5,5,6,Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-6HnKN0KpdRX3GtE2KfMm.png"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-ks569KnU8zW9IZ9EouYb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YmtmtcLRMd0cw49TytQH.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YjQCsxoNFVocejVTQTWb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-8VcB4pIsZNVVNmKRQxlU.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-yaIval9EbU9kg9si8Hya.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-p2OdKY2XML7cq0JQIhbj.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-5gVdzZ0uMLgnGbGRSytK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-BGddXULyO6Yjzoqa3VOc.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-vuTr7sE1GoyHebJPPfVu.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-3BD4xeRXIUG1bPIxgclC.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-tcr3AG4cUZcovJpMuYcW.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-0xMdNm1nw8LyCgCcjc6U.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-dd2J8ehZrNDNsZsIpu0t.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-1NWNC
5bed Detached+bq,Other,"5 bedroom House for sale Magodo GRA Phase 2 Kosofe/Ikosi Lagos selling for ₦580,000,000.",580000000,5,6,6,Magodo Gra Phase 2 Kosofe/ikosi Lagos,Kosofe/ikosi,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5bed-detachedbq-NgP7XG8NKsAlEjq4qnPe.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-aGwwL2GmVrBx0kqZWGPi.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-wRbzYHPMaJSLBl6uBkWl.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-0wdLA1ZmHyJbPfCiWXcg.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-Afce7hrFpt8gmuJ0ni9C.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-p6ak3YCdtbS2eYXhzTF1.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-Fvfly64QIYOvZ4zDG3uu.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-dgyMqWJsh8Pt08SYf84Q.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-EBKEyAo9fz8gik5i61g1.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-sqxzds07DXP6uWoNJj7F.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-JEtgXDLiuBQ10DU1UfNY.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-H69vu99YL0XF0mM9KKKE.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-VlV275G4gAvbekuGQP0p.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-DiYTBdRtkfZF7jbYLVXq.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-u6eyqbqxPw3vTQHRbvZA.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-vEbdvYzCnu7MUyaDoKPX.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-FBWEhkyCEOvIWc6UXa61.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-dQCPRLKtmKSrflPabR8V.jpg"", ""https://images.propertypro.ng/large/5bed-detachedbq-jbJNygyQA68MyGX5bFyT.jpg""]",Fully Furnished,"[""Street Lights"", ""24 Hours Security"", ""All Room Ensuit"", ""Drainage System"", ""CCTV Cameras"", ""POP Ceiling"", ""Jacuzzi"", ""Parking Space"", ""Water Treatment"", ""C of O"", ""Security"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/5-bedroom-house-for-sale-magodo-gra-phase-2-kosofe-ikosi-lagos-5NZLP
4 Bedroom Maisonette,Other,"4 bedroom House for sale  Mojisola Onikoyi Estate Ikoyi Lagos selling for ₦1,700,000,000.",1700000000,4,4,5,Mojisola Onikoyi Estate Ikoyi Lagos,Ikoyi,Lagos,Nigeria,"[""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-yNS1RRByEuKsuMc6vAjP.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-nx8f3HTbPXbkMpHbeOZJ.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-8GkI23ovGgeJiwwVZiPc.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-GQD5A9w9KlnEyjJWNG9q.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-UckNJFaNjDAnWgFtPFnf.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-HGw3JMVfdZeCmaoeMWtJ.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-TQkkwUqisXivlt77utnF.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-LR63CMbtMvgM1uhIjYyT.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-BYMRpcnMLZCWb2g0hoH5.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-5BX88TrTaT6C4WNfXos1.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-OMwEVyMnti6L8LvxohdL.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-ImBvI105faWK9aeoCpyC.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-mojisola-onikoyi-estate-ikoyi-lagos-9NYWT
4 Bedroom Flat,Flat,"4 bedroom House for sale Wuse 1 Abuja selling for ₦360,000,000.",360000000,4,4,5,Wuse 1 Abuja,1,Abuja,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-GX3Xd4c3b1g7vlU3tQMm.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-TM8Vd0KEMQ2fk8exTee9.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-eEXcwk7jMyuPlwridJz3.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-2OtZlGqFXUbkhjEVNfbJ.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-U7PwM8dmpIcHmYcamtI3.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-Xs4ibcM8oqdLfWN0E1vR.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-K0AbaaO6i4XxOkZoDksQ.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-rstDs3Gv4kOEQXNnGBSV.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-JpraHyVLxYE0laCdS1HG.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-amp1bq-terrace-for-sale-at-wuse-zone-4-nnNCzC4fq62xJvDa0oKJ.jpeg""]",Fully Furnished,"[""Security doors"", ""Street Lights"", ""Big Compound"", ""24 Hours Security"", ""Governor's Consent"", ""Restaurants Nearby"", ""All Room Ensuit"", ""Drainage System"", ""Church Nearby"", ""Office Supplies"", ""Parking Space"", ""Water Treatment"", ""POP Ceiling"", ""Free Coffee"", ""Supermarket Nearby"", ""C of O"", ""Security"", ""Mosques Nearby"", ""Boys Quater"", ""Fast Internet""]",https://propertypro.ng/property/4-bedroom-house-for-sale-wuse-1-abuja-4NUTE
5 Bedroom Semi Detached Duplex + Bq,Detached Duplex,"5 bedroom House for sale Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos selling for ₦210,000,000.",210000000,5,0,0,"Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos",Ajah,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-uG1CoUcpqZLP2JJt1LEQ.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-6sikVaRMxchWAc2NVAUB.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-WFktPREWgaRjFcaExXED.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-8Dfxff4kTWJ4y5iQM3a4.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-WqbYHZGtG6HSsguU9UUK.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-8oCZzHHZ01owpkvcQd6R.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-QxKwMOQI4PBBhv45RNe0.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-Z5rcI7DjcLLzv6umtX5R.jpg""]",Fully Furnished,"[""Swimming Pool"", ""Governor's Consent"", ""POP Ceiling"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-palms-city-estate-off-lekki-epe-express-way-ado-road-ajah-lagos-3NWAU
Beautiful Luxury 4 Bedroom Terraced Duplex With Bq,Duplex,"4 bedroom House for sale Lekki Phase 1 Lekki Lagos selling for ₦550,000,000.",550000000,4,4,5,Lekki Phase 1 Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-T4drJz5mJLkeG3dtuQLg.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-bJh1GDuWly7DpOp51YW1.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-hAgcqwqCIKduF7y3ewhe.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-0qEO6nivKOrKDQfwCBkR.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-TVrNEwbANUxh6Ft2oYor.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-LNxH1zzOh57ArtdBGSvi.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-UMZ9RlnKsCsOqQkzXbkj.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-Kr34FA1yjU9X3CdsrfKH.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-fx2TGkm7KEtKWxrILe0v.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-iQ6wdUqltFKVEoFwR7sW.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-TzrmOOEko0m3XiUOKSLf.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-m9sZi9j41JDCdQeDkNwi.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-BG8ffgpjZ3UZcNrfH9LP.jpg"", ""https://images.propertypro.ng/large/beautiful-luxury-4-bedroom-terrace-duplex-with-bq-bzLOgnI6W4mmSnYtmXdM.jpg""]",Fully Furnished,"[""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8PAJM
5 Bedroom Semi Detached House,Detached House,"5 bedroom House for sale Idu Abuja selling for ₦370,000,000.",370000000,5,5,6,Idu Abuja,Idu,Abuja,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-dNTQm1GYRBCgTaVMgP1F.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-lulxwmTypHuYcYW9zf7L.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-DSCyM3gfmumvFANYgDfT.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pBBu4zsb8o8xpYBbHbQp.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-TU4nC5LQ5B8Hiklp01RI.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-rNoSkJQTHOhTL17DwuzK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-y6TyxhpuFnBfJQbgdyQ6.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-p7j2SFAhxgLPjideowAi.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pPGm9FP9ufGF3BHx8TD7.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-deOdrQf0nfDUe3i0B7dd.jpeg""]",Fully Furnished,"[""Street Lights"", ""24 Hours Security"", ""Big Compound"", ""Restaurants Nearby"", ""All Room Ensuit"", ""Drainage System"", ""POP Ceiling"", ""Supermarket Nearby"", ""Parking Space"", ""Security"", ""Boys Quater"", ""Security doors"", ""Fast Internet""]",https://propertypro.ng/property/5-bedroom-house-for-sale-idu-abuja-0NVJU
4 Bedroom Detached Duplex,Detached Duplex,"4 bedroom House for sale Kolapo Ishola Estate Akobo Ibadan Oyo selling for ₦200,000,000.",200000000,4,0,0,Kolapo Ishola Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-detached-duplex-JFlAF0UnNp5uBG1soVsN.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-43H4DFkT9zGlb4FEjy3Z.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-QoSqygcLWpYQbWHmNSba.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-VqKc6aNgMQkTPaydH3nY.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-BzfmBEcr2LS38sva1iTq.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-ykDRQZq6SfSDEEuSMGln.jpg""]",Fully Furnished,"[""Big Compound"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-kolapo-ishola-estate-akobo-ibadan-oyo-5NPXV
Semifinished 4 Bedroom Terraced Duplexes With Bq,Duplex,"4 bedroom House for sale Jahi Life Camp Abuja selling for ₦335,000,000.",335000000,4,4,6,Jahi Life Camp Abuja,Camp,Abuja,Nigeria,"[""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-xQ9kVSFlGHkofXr7t1rM.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-8eXd1WdxWZLPMjl8eMsG.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-jcPGYAsY31zzOFjH311m.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-rE2XCWm5eTa0A0cyEWix.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-Y2xuDzHxQgwSrRDim1pe.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-PtRFTqeJisENnVeDTvZV.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-66JtVOyqFJZvsD48O5ae.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-z3C8s1k7f4JhQoj5ZC2s.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-OgyY5kSMf32rMSxGAnfx.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-gHGa63jbM36h8oSEtooi.jpeg"", ""https://images.propertypro.ng/large/XbVfB-semifinished-4-bedroom-terraced-duplexes-with-bq-BpKHusnVLjAoxFj9hXvP.jpeg""]",Fully Furnished,"[""Big Compound"", ""All Room Ensuit"", ""24 hours Electricity"", ""POP Ceiling"", ""Drainage System"", ""Parking Space"", ""Security"", ""Security doors"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-jahi-life-camp-abuja-2PBEQ
Modern Contemporary 5 Bed Semi Detached Duplex,Detached Duplex,"4 bedroom House for sale Cowrie Creek Estate Ikate Lekki Lagos selling for ₦1,000,000,000.",1000000000,4,4,5,Cowrie Creek Estate Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-WRF9rjIUI0C09KQEDMOU.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-L0oDI3bcMy36fAP9DEYH.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-SOxoVSzaHqiyaYt8QRPL.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FfZfH66yFZF81XiqYBUK.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-OjxJE1rXWDQzLEQMcgk1.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZwOrSkpdGlt3zQ5X7zih.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-TDtLVY83OFvYMuxlIU89.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZgouDSo7gs0vJc3XcZjg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-79atGlw4xxEbyWi8F7Px.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-lgGm7b19HLBYbxsxyaFO.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-oYtyH8Yu9OVtzXH75oEN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-kmFKv5E5YDUtO8vLaQAc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-n1TiCqKu5oRPxZr3kdFu.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-BcQIGYC4NMEklATa4VaS.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-8NRk2JSTsLEPgQ5PxVzN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-0W5piBo2MQn0EAHibcsg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FlxVXNbckxdkSsSVHveE.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-z0vbjYFwATWgcnQXYLay.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-wZ7gQK4qbygkzSHHyOzc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-axBYXVfxeqkBydnRXCyn.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-mN8MzW9eloTGcT4fDszs.jpeg""]",Fully Furnished,"[""Swimming Pool"", ""Big Compound"", ""24 hours Electricity"", ""All Room Ensuit"", ""Drainage System"", ""Parking Space"", ""Ocean View"", ""C of O"", ""Security"", ""Security doors"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-cowrie-creek-estate-ikate-lekki-lagos-6PBYJ
